gene,importance_mean,importance_std
C1QB,0.0010000000000000343,0.0030000000000000165
CD34,0.0010000000000000343,0.0026034165586355574
UPK3A,0.0010000000000000343,0.0023804761428476203
MMP9,0.001000000000000023,0.0038151743807532043
BGN,0.0008333333333333859,0.0035158371849548305
DCN,0.0008333333333333748,0.0026087459737497796
ADGRF5,0.0008333333333333748,0.004362084109434128
CCL11,0.0008333333333333748,0.0026087459737497366
TPSAB1/B2,0.0008333333333333636,0.002608745973749762
CD69,0.0006666666666667153,0.002494438257849306
CDH19,0.0006666666666667043,0.003349958540373631
LTB,0.0005000000000000337,0.005112620550059326
IGHG2,0.0005000000000000337,0.002242270674512299
PECAM1,0.0003333333333333854,0.002211083193570269
NPHS2,0.00033333333333337436,0.004396968652757646
CD36,0.00033333333333337436,0.001632993161855449
IL11,0.00016666666666672602,0.002409472049133499
PDGFRB,0.00016666666666671494,0.0026299556396765567
FCGBP,-0.000166666666666615,0.001892969448600091
CCL4/L1/L2,-0.0001666666666666261,0.0032871804872193476
PTPRQ,-0.0001666666666666261,0.002522124325070247
IL20,-0.0001666666666666261,0.0035316033500695098
S100B,-0.0003333333333332855,0.0016329931618554443
MRC1,-0.0003333333333332966,0.0019436506316150954
CLEC14A,-0.0003333333333332966,0.0014529663145135506
CCL5,-0.000499999999999956,0.0018333333333333305
COL6A3,-0.0006666666666666265,0.002905932629027113
LTF,-0.0006666666666666265,0.0023804761428476017
REG1A,-0.0006666666666666377,0.0038873012632302216
UBE2C,-0.0008333333333332971,0.0026087459737497475
TNNT2,-0.0008333333333332971,0.0030956959368344367
S100A2,-0.0009999999999999675,0.004422166387140539
CLEC5A,-0.001166666666666627,0.003077697552103219
NKG7,-0.0013333333333332975,0.0017950549357114997
CCL20,-0.0014999999999999569,0.0011666666666666507
JCHAIN,-0.001833333333333287,0.0025221243250702573
CXCL1/2/3,-0.001833333333333287,0.0032871804872193493
CXCL8,-0.001833333333333298,0.001572330188676098
DUSP5,-0.001833333333333298,0.002629955639676579
LIF,-0.001833333333333298,0.0030230595245361825
FN1,-0.001833333333333309,0.0024094720491335
LDB2,-0.0023333333333332984,0.0029059326290271203
SLC12A3,-0.0023333333333333097,0.002603416558635546
CCL19,-0.0029999999999999584,0.005099019513592783
C1QC,-0.0029999999999999693,0.0026666666666666744
SEMA3A,-0.003166666666666629,0.004621808207954003
