names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ADGRE5,21.766487,1.2519423,4.822093773195663e-105,3.261429639843824e-104,0.060925225487343616
B2M,21.65341,0.118510395,5.644501215368479e-104,3.79204410508983e-103,0.5392347977887693
RGS2,21.583422,0.28031802,2.5712138985102284e-103,1.7158567416058257e-102,0.13582702938609253
CD44,21.48861,0.6382073,1.989792113895166e-102,1.3190608649066631e-101,0.10340413151003783
PDGFRB,21.395945,0.7835564,1.457476883035984e-101,9.535518692281177e-101,0.08855833575792843
AR,20.994068,0.62013936,7.430588664210873e-98,4.737591880812156e-97,0.10634274076229269
NEGR1,20.905733,0.8697191,4.748560571862926e-97,3.0084235015410056e-96,0.07949156240907769
LRP2,20.840158,0.4630466,1.8722080600281657e-96,1.1786668352755936e-95,0.19200247308699447
KRT16,20.799904,1.503567,4.3368526966422726e-96,2.713243468336822e-95,0.05254946173988944
SNAI2,20.675533,0.96481633,5.752786794151947e-95,3.5767326589727325e-94,0.06908277567646202
NFKBIA,20.333601,0.31849325,6.486330114595768e-92,3.9350402695214326e-91,0.17678207739307536
IGFBP5,20.229479,0.10376794,5.386894054491229e-91,3.2483620171962168e-90,0.23060808844922898
NDRG1,20.209713,0.18449585,8.041299653073922e-91,4.819964642351494e-90,0.30346959557753855
HSP90AB1,19.732128,0.20435338,1.1425686462204958e-86,6.727713028627743e-86,0.3762656386383474
PLVAP,19.411015,0.94508076,6.228480488984896e-84,3.6038780170369255e-83,0.07962249054407913
TACSTD2,19.198433,0.99801886,3.8142264708687103e-82,2.1942762628388388e-81,0.09750872854233343
LUM,18.632093,0.75491756,1.7648440177671224e-77,9.924768886431964e-77,0.08679444282804771
RGS5,18.57965,0.94995534,4.6954413023807294e-77,2.6257747171414024e-76,0.08292842595286587
LDHA,18.533152,0.4754218,1.1155754225557215e-76,6.169563524741862e-76,0.15986325283677627
KRT8,18.368029,0.24674784,2.3685988606186333e-75,1.3027293733402483e-74,0.20771748617980798
TM4SF1,18.259434,0.87029815,1.7408692949181056e-74,9.470707414201215e-74,0.0768620890311318
H4C3,18.247671,0.22024971,2.1592190107642734e-74,1.1683125566351556e-73,0.3908386674425371
SYNPO2,17.84404,1.068884,3.215827805791311e-71,1.694233491366896e-70,0.05596086703520512
C1QA,17.773909,0.90930533,1.1256816810389072e-70,5.899514988062545e-70,0.07323974396275822
COL6A3,17.70612,0.8564877,3.7612185663366064e-70,1.9609269713036161e-69,0.06763165551352925
SOX4,17.496407,0.58896524,1.5259645834836794e-68,7.914458798275456e-68,0.095679371544952
SPRY4,17.44046,1.2376637,4.067859868149314e-68,2.088168065649981e-67,0.04896712249054408
STMN1,17.418442,0.6417871,5.9783220213805076e-68,3.053214460919331e-67,0.09134055862670934
CARMN,17.386034,0.7168989,1.0527079511261554e-67,5.3490388785648814e-67,0.07138129182426535
CXCL14,17.094425,0.57510966,1.632958905384499e-65,8.092038932128136e-65,0.30108379400640095
IGKC,17.081385,2.1708407,2.0421728879124188e-65,1.002066206274672e-64,0.06407841140529531
C1QB,16.955551,0.97628367,1.751134163481542e-64,8.468044916159535e-64,0.06505309863252837
COL3A1,16.771265,0.7069881,3.959870714705519e-63,1.8965696580958012e-62,0.07406168169915624
VWA1,16.759737,0.82256514,4.807437569083078e-63,2.291545241262934e-62,0.06600232761128891
IGHG1,16.71795,2.2116492,9.69969042771012e-63,4.579900999121618e-62,0.058532150130928134
RAMP1,16.132418,0.7873592,1.5099334365912725e-58,6.87019713649029e-58,0.06663878382310154
PLAC9,16.021044,0.9832283,9.110773694335491e-58,4.126644555669605e-57,0.05355324410823392
HSP90AA1,16.003002,0.23845993,1.2176043835983123e-57,5.46556945283368e-57,0.28482688391038696
CELSR1,15.8768635,0.49849448,9.164847716787802e-57,4.0773389175575957e-56,0.13034623217922606
LYZ,15.778213,1.3342993,4.394583147446339e-56,1.9464503232715866e-55,0.054760692464358454
SPARCL1,15.605824,0.84482825,6.644528023265935e-55,2.891814152734435e-54,0.06524585394239162
COL12A1,15.565136,0.8712755,1.2560343461695516e-54,5.442815500068057e-54,0.05653549607215595
PAPPA2,15.555926,0.9770481,1.4504184160664205e-54,6.258055321045203e-54,0.05474614489380274
NTRK3,15.540635,0.72184294,1.841487280304631e-54,7.911282264313029e-54,0.06218722723305208
IGF2,15.455597,0.9296194,6.916743203598837e-54,2.958829037095058e-53,0.05360052371254
KRT18,15.271303,0.2219805,1.1877516671694953e-52,5.059316675900701e-52,0.19712685481524586
CSF1,15.148809,0.62910175,7.715105907913937e-52,3.244882778916744e-51,0.07379255164387548
CD63,15.030655,0.19532722,4.624092173994383e-51,1.928631777570157e-50,0.26817718940936863
EPHA2,14.812389,0.5558467,1.218307860323296e-49,4.957423447900892e-49,0.07574192609834157
STAT6,14.603327,0.50453866,2.674677651646724e-48,1.0839483114568302e-47,0.08715449519930171
CD68,14.230239,0.733251,5.947830733623485e-46,2.3626105414115507e-45,0.06067064300261856
APP,14.185851,0.2804982,1.1209666962764291e-45,4.4351291026589154e-45,0.24279167878964214
SERPINH1,14.15337,0.5166183,1.7801715711402346e-45,7.015558042170766e-45,0.08260474250800116
ACVRL1,14.089888,0.633246,4.382561263462986e-45,1.7136499315337692e-44,0.06695155659004946
ACE,14.07255,0.7718859,5.6012655379292904e-45,2.1732041873903953e-44,0.06836267093395403
